Utility Characteristics,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Facility Number,Facility Name,Utility Number,Utility Name,STATE,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2014,59371,12 Applegate Solar LLC,58258,SunRay Power LLC,NJ,PJM,0.0,0,0,149.0,"2,350",1,0.0,0,0,0.0,0,0,149.0,"2,350",1
2014,57458,145 Talmadge Solar,56777,Avidan Energy Solutions,NJ,PJM,0.0,0,0,0.0,0,0,510.0,"4,524",1,0.0,0,0,510.0,"4,524",1
2014,58187,180 Raritan Solar,58164,"180 Raritan Energy Solutions, LLC",NJ,PJM,0.0,0,0,0.0,0,0,289.0,"2,584",1,0.0,0,0,289.0,"2,584",1
2014,59365,24 Applegate Solar LLC,58258,SunRay Power LLC,NJ,PJM,0.0,0,0,181.0,"5,734",4,0.0,0,0,0.0,0,0,181.0,"5,734",4
2014,59485,"265 Pleasant Solar NG, LLC",59254,NuGen Capital Management,MA,ISNE,0.0,0,0,90.0,523,1,0.0,0,0,0.0,0,0,90.0,523,1
2014,59370,4 Applegate Solar LLC,58258,SunRay Power LLC,NJ,PJM,0.0,0,0,126.0,"2,028",1,0.0,0,0,0.0,0,0,126.0,"2,028",1
2014,57640,500 Virginia Solar,56971,"500 Virginia Solar, LP",PA,PJM,0.0,0,0,92.0,"1,129",1,0.0,0,0,0.0,0,0,92.0,"1,129",1
2014,59046,651 Chase Solar NG,58879,651 Chase Solar NG LLC,MA,ISNE,0.0,0,0,296.0,"1,611",1,0.0,0,0,0.0,0,0,296.0,"1,611",1
2014,58798,"AC Criminal Courts Complex SPE2, LLC",58661,"Sustainable Power Group, LLC",NJ,PJM,.,.,.,192.0,"1,925",1,.,.,.,.,.,.,192.0,"1,925",1
2014,57554,AFA Solar Farm,56892,Solar Star Colorado II LLC,CO,WACM,0.0,0,0,351.0,"11,294",1,0.0,0,0,0.0,0,0,351.0,"11,294",1
2014,59543,Acton Solar Landfill,59286,Heliovaas LLC,MA,ISNE,0.0,0,0,200.0,"2,030",1,0.0,0,0,0.0,0,0,200.0,"2,030",1
2014,59331,Anheuser-Busch #2,59129,"Foundation CA Fund VII Manager, LLC",CA,CISO,0.0,0,0,0.0,0,0,5.0,74,1,0.0,0,0,5.0,74,1
2014,59489,Anthony Wayne Solar #1,59244,GEM Energy LLC,OH,PJM,0.0,0,0,127.0,"1,988",1,0.0,0,0,0.0,0,0,127.0,"1,988",1
2014,57765,Arizona Western College PV,58863,Main Street Power,AZ,AZPS,0.0,0,0,533.0,"8,017",1,0.0,0,0,0.0,0,0,533.0,"8,017",1
2014,55990,Ashtabula,58115,"DTE Ashtabula, LLC",OH,PJM,0.0,0,0,"5,117.0","151,845",1,0.0,0,0,0.0,0,0,"5,117.0","151,845",1
2014,56900,Atlantic City Convention Center,14405,Power Choice/Pepco Energy Serv,NJ,PJM,0.0,0,0,392.0,"2,979",1,0.0,0,0,0.0,0,0,392.0,"2,979",1
2014,58360,Atlantic Coast Freezers Solar Facility,57411,KDC Solar O&M LLC,NJ,PJM,0.0,0,0,234.0,"3,342",1,0.0,0,0,0.0,0,0,234.0,"3,342",1
2014,59766,Barre II Solar Project,59232,Kearsarge Solar LLC,MA,ISNE,0.0,0,0,172.0,"1,526",2,0.0,0,0,0.0,0,0,172.0,"1,526",2
2014,55327,Baytown Energy Center,2838,Baytown Energy Center LLC,TX,ERCO,0.0,0,0,0.0,0,0,"67,548.0","1,697,182",1,0.0,0,0,"67,548.0","1,697,182",1
2014,58403,Bellingham PV,57081,"Washington Gas Energy Systems, Inc.",MA,ISNE,0.0,0,0,433.0,"4,466",1,0.0,0,0,0.0,0,0,433.0,"4,466",1
2014,57733,Benjamin Moore & Co. Solar,57044,"Constellation Solar New Jersey, LLC",NJ,PJM,0.0,0,0,0.0,0,0,64.0,"2,030",1,0.0,0,0,64.0,"2,030",1
2014,58624,Berkshire 1,58578,PPS Berkshire Solar LLC,MA,ISNE,.,.,.,248.0,"2,302",1,.,.,.,.,.,.,248.0,"2,302",1
2014,59097,Berry Plastics Solar,58928,Berry Plastics Solar,NJ,PJM,0.0,0,0,"1,086.0","15,866",1,0.0,0,0,0.0,0,0,"1,086.0","15,866",1
2014,56862,Bolthouse S&P and Rowen Farms Solar,56105,MMA WBF Power LP,CA,CISO,0.0,0,0,0.0,0,0,366.0,"4,089",1,0.0,0,0,366.0,"4,089",1
2014,59014,Bolton PV,58863,Main Street Power,MA,ISNE,0.0,0,0,745.0,"7,426",2,0.0,0,0,0.0,0,0,745.0,"7,426",2
2014,58327,Bradley Energy Center,58300,Ameresco Select Inc,CT,ISNE,0.0,0,0,"2,703.0","18,120",1,0.0,0,0,0.0,0,0,"2,703.0","18,120",1
2014,59361,Browne Solar LLC,58258,SunRay Power LLC,MA,ISNE,0.0,0,0,167.0,946,1,0.0,0,0,0.0,0,0,167.0,946,1
2014,58037,Buckeye Union HS District 201,57408,Constellation Solar Arizona LLC,AZ,AZPS,0.0,0,0,774.0,"7,397",1,0.0,0,0,0.0,0,0,774.0,"7,397",1
2014,52147,C P Kelco San Diego Plant,3221,CPKelco U S Inc,CA,CISO,0.0,0,0,0.0,0,0,4.0,72,1,0.0,0,0,4.0,72,1
2014,59248,CCMUA,59063,"Camden Solar Center, LLC",NJ,PJM,0.0,0,0,0.0,0,0,111.0,"2,288",1,0.0,0,0,111.0,"2,288",1
2014,59748,CDCR (CA) - Pleasant Valley State Prison,59512,"Team-Solar, Inc.",CA,CISO,0.0,0,0,112.0,"1,100",1,0.0,0,0,0.0,0,0,112.0,"1,100",1
2014,10631,CE Leathers,49899,CalEnergy Operating Corporation,CA,IID,0.0,0,0,"23,077.0","345,818",1,0.0,0,0,0.0,0,0,"23,077.0","345,818",1
2014,58365,CJTS Energy Center,58300,Ameresco Select Inc,CT,ISNE,0.0,0,0,212.0,"1,817",1,0.0,0,0,0.0,0,0,212.0,"1,817",1
2014,54323,CNN Center,18452,Turner Properties Inc,GA,SOCO,0.0,0,0,"1,632.0","22,154",31,0.0,0,0,0.0,0,0,"1,632.0","22,154",31
