"Table B.2.  Major Disturbances and Unusual Occurrences, Year-to-Date through December 2010",,,,,,,
Date,NERC Region,Time,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected 1,Restoration
January  ,,,,,,,
1/6/2010, SERC ,6:00 p.m.,Southwest Louisiana,Made Public Appeals,N/A,N/A,6:00 p.m. January 08
1/11/2010,FRCC/SERC ,3:45 a.m.,Northern and Central Florida,Interruptible Load Shed/Made Public Appeals,N/A,N/A,9:57 a.m. January 11
1/18/2010,WECC ,11:30 a.m.,Northern and Central California,Severe Storm,290,"1,700,000",8:00 a.m. January 28
1/19/2010,WECC ,7:30 a.m.,San Francisco,Severe Storm,300,"30,000",12:24 p.m. January 19
1/19/2010, WECC ,2:30 p.m.,San Diego and Orange Counties,Severe Storm,"2,650","50,000",3:00 p.m. January 20
1/20/2010,WECC ,1:00 p.m.,"City of Los Angeles, California",Severe Storm,N/A,"147,223",6:10 p.m. January 24
1/28/2010, SPP ,12:00 p.m.,Oklahoma,Ice Storm,N/A,"68,705",12:00 p.m. February 02
February ,,,,,,,
2/1/2010,SPP ,2:32 p.m.,Oklahoma,Ice Storm/Electrical System Separation,30,0,5:00 p.m. February 01
2/5/2010,RFC ,3:00 p.m.,Southern NJ,Winter Storm,N/A,"221,000",4:00 p.m. February 13
2/5/2010,SERC ,6:48 p.m.,North and South Carolina,Winter Storm,500,"74,000",5:00 p.m. February 07
2/5/2010,RFC ,7:00 p.m.,"District of Columbia, Prince Georges and Montgomery Co. MD",Winter Storm,N/A,"97,651",3:46 p.m. February 12
2/5/2010,RFC ,10:30 p.m.,Southwestern Pennsylvania,Winter Storm,N/A,"57,000",12:00 p.m. February 12
2/5/2010, RFC ,11:30 p.m.,"Indiana, Ohio, W. Virginia and Virginia",Winter Storm,N/A,"102,225",2:38 a.m. February 07
2/6/2010,SERC ,2:30 a.m.,"Virginia, North Carolina",Winter Storm,600,"104,736",7:00 a.m. February 07
2/6/2010,RFC ,8:00 a.m.,Delmarva Peninsula,Winter Storm,N/A,"58,491",9:00 a.m. February 06
2/9/2010, RFC ,6:00 p.m.,Southeastern Pennsylvania,Winter Storm,N/A,"223,000",4:00 p.m. February 14
2/11/2010,TRE ,12:00 p.m.,Dallas/Fort Worth and East Texas,Winter Storm,N/A,"500,000",9:00 p.m. February 15
2/12/2010, SPP ,5:00 a.m.,"East Texas, Western Arkansas, Northern Lousiania",Winter Storm,N/A,"52,999",5:00 p.m. February 12
2/14/2010,RFC ,10:00 a.m.,Western Pennsylvania nd Northeast Central WV,Winter Storm,900,"190,000",12:00 p.m. February 14
2/19/2010,WECC ,8:30 p.m.,"San Joaquin Field Division/Bakersfield, CA",Firm System Load Shed,"1,000",N/A,4:01 a.m. February 20
2/23/2010,NPCC ,10:00 p.m.,Upstate New York,Winter Storm,N/A,"150,000",4:00 p.m. February 25
2/25/2010,NPCC ,12:01 a.m.,"Southeastern New York, Northern New Jersey",Winter Storm,N/A,"65,000",9:00 p.m. February 26
2/25/2010, NPCC ,5:00 p.m.,New York City,Winter Storm,N/A,"55,000",7:00 p.m. March 02
2/25/2010,NPCC ,11:53 p.m.,Southern Maine and New Hampshire,Winter Storm,510,"509,606",4:40 p.m. March 01
March    ,,,,,,,
3/13/2010,RFC ,1:00 a.m.,Southeasten Pennsylvania,High Winds and rain,N/A,"177,528",6:40 p.m. March 16
3/13/2010,NPCC ,12:00 p.m.,Connecticut,High Winds and Rain,50,"50,246",8:05 p.m. March 15
3/13/2010,NPCC ,3:00 p.m.,Long Island,High Winds and Rain,N/A,"153,000",4:00 p.m. March 17
3/13/2010,RFC ,4:00 p.m.,Central New Jersey and Northern New Jersey,High Winds and Flooding,N/A,"180,000",12:00 a.m. March 16
3/13/2010,RFC ,6:00 p.m.,"Southern, Central and Northern New Jersey",High Winds and Rain,100,"360,000",12:59 p.m. March 20
3/13/2010,NPCC ,6:00 p.m.,New York City and Westchester County,High Winds and Rain,N/A,"173,000",9:00 a.m. March 20
3/31/2010,WECC ,11:59 p.m.,San Diego and Orange Counties,Shed Firm Load,324,"290,000",12:55 a.m. April 01
3/31/2010,WECC ,11:59 p.m.,San Diego,Shed Firm Load,324,N/A,12:38 a.m. April 01
April    ,,,,,,,
4/16/2010,RFC ,5:15 p.m.,Southwestern Pennsylvania,Severe Thunderstorms,15,"120,000",5:00 p.m. April 18
"Table B.2.  Major Disturbances and Unusual Occurrences, Year-to-Date through December 2010",,,,,,,
Date,NERC Region,Time,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected 1,Restoration
4/21/2010,SERC ,3:05 p.m.,"Iberville, Parish, Louisiana",Generator Tripped,N/A,N/A,8:00 p.m. April 21
4/27/2010,SERC ,2:55 p.m.,"Rocky Mount, NC",Transmission System Interruption,N/A,"29,376",2:55 p.m. April 27
May      ,,,,,,,
5/2/2010,SERC ,2:40 p.m.,Tennessee and Mississippi,Thunderstorms,N/A,"50,500",7:30 p.m. May 09
5/18/2010,WECC,8:15 a.m.,Central California,Breakers Tripped,318,N/A,10:46 p.m. May 18
5/26/2010,"RFC, SERC ",11:45 a.m.,"Maryland, Pennsylvania, West Virginia, Virginia",Made Public Appeal - System Drill,N/A,N/A,3:00 p.m. May 26
June     ,,,,,,,
6/1/2010,RFC ,10:03 p.m.,Southwestern Indiana,Firm Load Shed,500,1,12:30 a.m. June 18
6/2/2010,TRE ,8:18 p.m.,"San Antonio, TX",Severe Weather,N/A,"126,000",8:00 a.m. June 04
6/6/2010,WECC ,4:45 a.m.,Northern California,Electric System Separation,3,"2,650",5:35 a.m. June 06
6/7/2010,WECC ,6:29 p.m.,Denver Metropolitan Area,Firm Load Shed,300,"31,000",1:00 a.m. June 08
6/8/2010,TRE ,11:00 a.m.,Southeastern Texas,Thunderstorms,N/A,"79,741",5:00 p.m. June 08
6/9/2010,SERC ,2:18 p.m.,"Edenton, NC",Transmission System Interruption,N/A,"4,196",3:00 p.m. June 09
6/16/2010,NPCC ,11:11 a.m.,New York (Rockland and Orange Counties),Voltage Reduction (System Test),N/A,N/A,11:32 a.m. June 16
6/17/2010,SPP ,8:30 a.m.,"Morgan City, LA",Made Public Appeal,N/A,N/A,5:47 p.m. June 17
6/17/2010,SERC ,9:30 a.m.,Southern Louisiana,Made Public Appeal,N/A,N/A,5:17 p.m. June 17
6/17/2010,SERC ,9:30 a.m.,Southern Louisiana,Made Public Appeal,N/A,N/A,4:40 p.m. June 17
6/17/2010,SPP ,9:30 a.m.,Southwestern Louisiana,Made Public Appeal,N/A,N/A,4:40 p.m. June 17
6/17/2010,MRO ,10:49 a.m.,Eastern Montana,Electrical System Separation,N/A,N/A,11:02 a.m. June 17
6/18/2010,RFC ,3:30 p.m.,Northwest Indiana,Thunderstorms,N/A,"94,345",12:30 a.m. June 20
6/18/2010,RFC ,4:00 p.m.,"Chicago, IL",Severe Weather,N/A,"400,000",1:00 p.m. June 20
6/18/2010,RFC ,7:00 p.m.,Southern Portion of Lower Michigan,Thunderstorms,N/A,"100,000",5:00 a.m. June 19
6/18/2010,RFC ,8:00 p.m.,"Indiana, Michigan",Severe Weather,N/A,"79,000",10:45 a.m. June 21
6/18/2010,RFC ,8:00 p.m.,"Detroit, MI",Severe Weather,N/A,"150,000",7:30 p.m. June 22
6/21/2010,RFC ,1:48 p.m.,"Cincinnati, OH",Thunderstorms,400,"50,636",8:31 p.m. June 22
6/22/2010,SERC ,3:34 p.m.,West/Central Arkansas,Made Public Appeal/Transmission Equipment Failure,84,"25,159",7:00 p.m. June 22
6/23/2010,RFC ,5:00 p.m.,"Chicago, IL",Severe Weather,N/A,"300,000",1:40 p.m. June 25
6/23/2010,RFC ,5:48 p.m.,Northwest Indiana,Thunderstorms,N/A,"53,000",2:21 a.m. June 24
6/24/2010,RFC ,3:00 p.m.,Southwestern New Jersey,Thunderstorms,N/A,"150,000",12:00 p.m. June 29
6/24/2010,RFC ,3:30 p.m.,Southeastern Pennsylvania,Thunderstorms,N/A,"355,000",11:59 p.m. June 29
6/25/2010,WECC ,11:36 p.m.,Northern California,Electrical System Separation,N/A,N/A,1:38 a.m. June 26
July     ,,,,,,,
